Iteration,Loss
0,8.358853779
1,3.875649471
2,2.514424694
3,1.90720243
4,1.582484643
5,1.288573701
6,1.116668955
7,1.025066474
8,0.917384799
9,0.901230661
10,0.811356538
11,0.735227296
12,0.689626302
13,0.691449853
14,0.571244676
15,0.486860885
16,0.472403452
17,0.524031461
18,0.410428829
19,0.375794932
20,0.42782008
21,0.357666316
22,0.390939604
23,0.451955553
24,0.517087693
25,0.461861627
26,0.358807185
27,0.307717325
28,0.399600189
29,0.410596718
30,0.449759698
31,0.380523701
32,0.32397791
33,0.310825063
34,0.35310753
35,0.266284711
36,0.237304622
37,0.316440753
38,0.323877042
39,0.275055867
40,0.29627023
41,0.227128469
42,0.233718509
43,0.250621089
44,0.244214669
45,0.266625404
46,0.229991676
47,0.301918065
48,0.279058049
49,0.308981905
50,0.286853331
51,0.273591303
52,0.248288616
53,0.226775328
54,0.214890937
55,0.240527246
56,0.234326731
57,0.229598136
58,0.212897237
59,0.202223716
60,0.205819846
